customer_id,customer_name,customer_segment,preferred_payment_method,communication_opt_in,customer_lifetime_value,successful_payment_count,failed_payment_count,total_payment_attempts
CUST_00001,Anita Goswami,regular,upi,True,55953.0,3,0,3
CUST_00002,Priya Borra,new,upi,True,18303.78,1,1,2
CUST_00003,Reyansh Mallick,regular,upi,True,31269.45,5,0,5
CUST_00004,Girish Behl,regular,upi,True,40159.68,3,0,3
CUST_00005,Umang Dugar,regular,card,True,36795.8,2,1,3
CUST_00006,Aachal Gera,regular,upi,True,88108.65,4,0,4
CUST_00007,Saanvi Chaudry,regular,netbanking,True,31486.17,2,2,4
CUST_00008,Devika Dewan,regular,netbanking,True,58831.21,3,0,3
CUST_00009,Pooja Nayar,new,upi,True,13816.66,4,2,6
CUST_00010,Anthony Devan,regular,upi,True,98108.88,1,2,3
CUST_00011,Bhavna Sawhney,regular,upi,False,37685.02,3,0,3
CUST_00012,Jagrati Menon,regular,card,True,44006.03,2,1,3
CUST_00013,Bhanumati Pillai,high_value,upi,True,264704.23,3,1,4
CUST_00014,Ikshita Hayer,regular,card,True,69750.68,1,1,2
CUST_00015,Tamanna Bhalla,regular,netbanking,True,53343.46,6,0,6
CUST_00016,Nitara Dara,regular,card,True,96777.56,1,0,1
CUST_00017,Aayush Mangal,regular,upi,True,48141.85,1,1,2
CUST_00018,Lekha Swaminathan,regular,card,True,70697.97,4,0,4
CUST_00019,Turvi Kamdar,high_value,upi,True,467756.52,2,0,2
CUST_00020,Ayaan Parmar,regular,upi,True,59956.59,2,0,2
CUST_00021,Yochana Sarma,regular,upi,True,33074.25,3,0,3
CUST_00022,Ekalinga Roy,regular,upi,True,43909.82,3,0,3
CUST_00023,Yutika Morar,regular,card,True,38163.21,4,1,5
CUST_00024,Jeet Kohli,regular,upi,True,73538.63,4,0,4
CUST_00025,Kashish Vyas,regular,card,True,80131.34,6,0,6
CUST_00026,Pahal Savant,regular,netbanking,True,65758.64,4,0,4
CUST_00027,Wazir Rajan,high_value,netbanking,True,393397.7,4,1,5
CUST_00028,Tristan Natt,regular,upi,True,98356.45,0,0,0
CUST_00029,Edhitha Devi,regular,upi,True,59889.16,4,1,5
CUST_00030,Kalpit Madan,high_value,upi,True,158950.58,1,0,1
CUST_00031,Forum Sachdeva,regular,upi,True,35384.11,3,0,3
CUST_00032,Zayan Sundaram,regular,card,True,21599.5,3,0,3
CUST_00033,Dhruv Balakrishnan,regular,card,True,76038.84,6,0,6
CUST_00034,Aayush Mandal,new,netbanking,True,14966.26,1,0,1
CUST_00035,Balhaar Bhandari,regular,netbanking,True,39532.01,1,0,1
CUST_00036,Rachana Parikh,regular,card,True,69496.72,0,0,0
CUST_00037,Falak Trivedi,regular,upi,False,74818.44,3,2,5
CUST_00038,Chanakya Devan,regular,card,True,64361.92,1,1,2
CUST_00039,Henry Bir,regular,upi,True,74361.88,3,0,3
CUST_00040,Tarak Khatri,regular,card,True,72302.85,3,0,3
CUST_00041,Omaja Ganesan,regular,upi,True,29050.23,2,1,3
CUST_00042,Abhiram Bhat,regular,card,False,23352.44,2,1,3
CUST_00043,Neha Talwar,regular,upi,True,69610.31,4,1,5
CUST_00044,Ayush Vohra,new,upi,True,18096.15,1,2,3
CUST_00045,Gaurav Batra,regular,upi,True,93012.43,2,0,2
CUST_00046,Warhi Dugal,regular,card,True,87626.16,3,1,4
CUST_00047,Akshay Badal,regular,card,False,49074.13,1,0,1
