customer_id,customer_name,customer_segment,preferred_payment_method,communication_opt_in,customer_lifetime_value,successful_payment_count,failed_payment_count,total_payment_attempts
UNSEEN_CUST_00001,Fiyaz Varghese,regular,netbanking,True,47918.41,1,0,1
UNSEEN_CUST_00002,Vamakshi Cheema,regular,upi,True,78228.24,1,0,1
UNSEEN_CUST_00003,Benjamin Misra,regular,card,True,79733.87,3,0,3
UNSEEN_CUST_00004,Joshua Bhandari,regular,upi,True,64760.46,0,2,2
UNSEEN_CUST_00005,Balvan Ahuja,regular,upi,True,99803.16,2,0,2
UNSEEN_CUST_00006,Nitesh Kakar,high_value,netbanking,True,229122.4,1,1,2
UNSEEN_CUST_00007,Brijesh Chatterjee,high_value,netbanking,True,134711.33,1,0,1
UNSEEN_CUST_00008,Chanakya Master,regular,card,True,73176.51,1,0,1
UNSEEN_CUST_00009,Pahal Balasubramanian,regular,card,True,43243.82,1,0,1
UNSEEN_CUST_00010,Chanakya Wagle,high_value,card,True,195532.58,4,0,4
UNSEEN_CUST_00011,Henry Bera,new,upi,True,8826.88,0,2,2
UNSEEN_CUST_00012,Yochana Jaggi,new,card,True,4447.43,1,1,2
UNSEEN_CUST_00013,Anika Sandal,regular,netbanking,False,28216.76,1,0,1
UNSEEN_CUST_00014,Yochana Bhatti,new,upi,True,12197.51,1,2,3
UNSEEN_CUST_00015,Victor Ravi,high_value,card,False,158271.1,5,0,5
UNSEEN_CUST_00016,Ekantika Vala,regular,upi,False,30501.79,3,1,4
UNSEEN_CUST_00017,Balhaar Ghosh,regular,upi,True,68309.4,6,0,6
UNSEEN_CUST_00018,Aashi Verma,regular,upi,True,29114.98,0,0,0
UNSEEN_CUST_00019,Yachana Mand,regular,card,True,39178.32,5,1,6
UNSEEN_CUST_00020,Naveen Srinivas,regular,upi,True,31530.65,3,0,3
UNSEEN_CUST_00021,Vinaya Rana,regular,upi,True,71791.26,1,1,2
UNSEEN_CUST_00022,Avi Buch,regular,upi,True,72130.97,3,1,4
UNSEEN_CUST_00023,Leena Rai,regular,upi,True,77654.58,2,0,2
UNSEEN_CUST_00024,Mekhala Shetty,regular,card,True,65406.59,1,1,2
UNSEEN_CUST_00025,Niharika Gulati,new,upi,True,6320.79,2,3,5
UNSEEN_CUST_00026,Oviya Batra,high_value,card,True,110305.7,3,0,3
UNSEEN_CUST_00027,Veer Jha,regular,upi,True,54906.95,2,0,2
UNSEEN_CUST_00028,Indrajit Ben,regular,card,True,23350.39,3,2,5
UNSEEN_CUST_00029,Girik Babu,high_value,card,True,235103.97,1,1,2
UNSEEN_CUST_00030,Jason Contractor,new,card,True,8374.68,2,1,3
UNSEEN_CUST_00031,Dipta Venkataraman,new,card,True,13558.49,3,1,4
UNSEEN_CUST_00032,Zehaan Vohra,regular,card,True,92183.49,4,0,4
UNSEEN_CUST_00033,Bhanumati Ratti,regular,netbanking,True,76631.63,2,0,2
UNSEEN_CUST_00034,Manan Trivedi,regular,netbanking,True,42509.34,1,1,2
UNSEEN_CUST_00035,Gautam Mane,high_value,upi,True,405047.27,2,1,3
UNSEEN_CUST_00036,Wahab Choudhary,new,netbanking,True,19323.47,4,1,5
UNSEEN_CUST_00037,Orinder Wable,new,netbanking,False,4295.44,3,3,6
UNSEEN_CUST_00038,Mekhala Sen,regular,netbanking,True,89208.29,5,0,5
UNSEEN_CUST_00039,Chandran Garg,high_value,upi,True,219751.82,6,0,6
UNSEEN_CUST_00040,Dev Deep,regular,upi,True,44535.17,3,1,4
UNSEEN_CUST_00041,Vasana Joshi,regular,card,True,75945.64,3,0,3
UNSEEN_CUST_00042,Imaran Balan,regular,netbanking,True,71845.39,3,0,3
UNSEEN_CUST_00043,Rachana Som,regular,upi,True,30511.22,2,0,2
UNSEEN_CUST_00044,Harish Pant,regular,upi,True,27677.54,3,2,5
UNSEEN_CUST_00045,Anvi Dara,regular,upi,True,99110.53,4,0,4
UNSEEN_CUST_00046,Lopa Dua,regular,upi,True,64271.45,3,0,3
UNSEEN_CUST_00047,Madhav Suresh,new,upi,True,10876.41,1,3,4
UNSEEN_CUST_00048,Pushti Arya,regular,upi,True,50408.06,1,0,1
UNSEEN_CUST_00049,Yutika Kata,new,card,True,2205.41,0,1,1
UNSEEN_CUST_00050,Mitesh Kant,regular,card,True,31826.12,3,0,3
UNSEEN_CUST_00051,Pranav Thaker,high_value,card,True,420909.86,5,0,5
UNSEEN_CUST_00052,Chandani Sura,regular,upi,True,30695.0,2,1,3
UNSEEN_CUST_00053,Mahika Baral,high_value,upi,True,405749.8,4,1,5
UNSEEN_CUST_00054,Yashasvi Seth,regular,netbanking,True,32596.82,2,2,4
UNSEEN_CUST_00055,Tanvi Chana,regular,card,True,85426.82,4,2,6
UNSEEN_CUST_00056,Gautam Chaudhari,new,netbanking,True,1462.55,2,0,2
UNSEEN_CUST_00057,Ansh Thaman,regular,netbanking,True,65366.06,4,1,5
UNSEEN_CUST_00058,Vasatika Warrior,regular,netbanking,True,63888.74,1,1,2
UNSEEN_CUST_00059,Ijaya Dhaliwal,high_value,upi,True,446108.0,2,0,2
UNSEEN_CUST_00060,Ekta Manne,regular,netbanking,True,57686.49,3,1,4
UNSEEN_CUST_00061,Finn Nagy,regular,netbanking,False,49765.04,3,0,3
UNSEEN_CUST_00062,Yahvi Rajan,regular,upi,True,64894.09,2,1,3
UNSEEN_CUST_00063,Ishita Bawa,regular,upi,True,88975.02,2,0,2
UNSEEN_CUST_00064,Ubika Datta,regular,upi,True,76044.11,2,1,3
UNSEEN_CUST_00065,Dipta Dass,regular,upi,True,21330.95,6,0,6
UNSEEN_CUST_00066,Irya Chad,regular,card,True,20832.46,4,0,4
UNSEEN_CUST_00067,Ikshita Menon,new,card,True,12255.83,5,1,6
UNSEEN_CUST_00068,Jacob Grover,regular,upi,True,59927.77,1,1,2
UNSEEN_CUST_00069,Oeshi Dash,regular,netbanking,True,93715.16,4,0,4
UNSEEN_CUST_00070,Devika Bandi,regular,upi,False,43552.31,3,1,4
UNSEEN_CUST_00071,Ria Lanka,regular,upi,False,32908.8,2,1,3
UNSEEN_CUST_00072,Lipika Sharaf,regular,upi,True,44944.32,3,0,3
UNSEEN_CUST_00073,Nachiket Kakar,high_value,upi,True,262177.71,1,0,1
UNSEEN_CUST_00074,Raksha Iyengar,regular,card,True,53559.59,2,2,4
UNSEEN_CUST_00075,Umang Rattan,regular,upi,True,67720.41,1,1,2
UNSEEN_CUST_00076,Veda Sandhu,regular,card,True,67565.25,3,0,3
UNSEEN_CUST_00077,Aarav Parmer,regular,card,True,35181.04,2,1,3
UNSEEN_CUST_00078,Irya Gara,new,card,True,7173.48,2,3,5
UNSEEN_CUST_00079,Rachit Sarkar,high_value,upi,True,154536.59,4,0,4
UNSEEN_CUST_00080,Shaurya Ganguly,high_value,upi,True,411893.38,2,0,2
UNSEEN_CUST_00081,Banjeet Bose,new,card,True,5868.33,2,0,2
UNSEEN_CUST_00082,Ijaya Dyal,high_value,upi,True,102263.98,5,0,5
UNSEEN_CUST_00083,Mugdha Sha,regular,upi,True,74195.15,5,2,7
UNSEEN_CUST_00084,Praneel Kota,regular,upi,True,85479.74,3,2,5
UNSEEN_CUST_00085,Zilmil Pal,regular,upi,True,95348.49,1,1,2
UNSEEN_CUST_00086,Damini Parmar,new,upi,True,14138.95,2,0,2
UNSEEN_CUST_00087,Yashodhara Bahl,regular,card,True,89895.23,4,0,4
UNSEEN_CUST_00088,Gauri Mutti,regular,card,True,46902.49,2,0,2
UNSEEN_CUST_00089,Osha Cheema,high_value,upi,True,386637.64,5,2,7
UNSEEN_CUST_00090,Siddharth Agate,regular,upi,True,21484.37,4,1,5
UNSEEN_CUST_00091,Girindra Deshpande,new,card,True,10040.72,4,0,4
UNSEEN_CUST_00092,Viraj Dar,new,card,True,3558.06,3,1,4
UNSEEN_CUST_00093,Frederick Dani,regular,card,True,27457.12,2,0,2
UNSEEN_CUST_00094,Karan Bhatti,regular,card,True,42505.5,3,1,4
UNSEEN_CUST_00095,Zaid Kara,new,upi,True,1074.19,2,0,2
UNSEEN_CUST_00096,Alexander Shah,regular,card,False,31805.44,0,1,1
UNSEEN_CUST_00097,Widisha Tripathi,regular,card,True,45962.27,1,0,1
UNSEEN_CUST_00098,Noah Dugar,high_value,upi,True,317009.4,7,0,7
UNSEEN_CUST_00099,Mitesh Dubey,high_value,upi,True,492132.91,5,0,5
UNSEEN_CUST_00100,Om Patel,new,upi,True,14298.29,4,0,4
UNSEEN_CUST_00101,Pratyush Lall,regular,card,True,31757.85,0,1,1
UNSEEN_CUST_00102,Ranbir Patel,regular,card,True,35180.89,3,1,4
UNSEEN_CUST_00103,Frado Tailor,high_value,upi,True,439482.75,5,0,5
UNSEEN_CUST_00104,Balvan Pai,regular,card,True,29587.35,3,1,4
UNSEEN_CUST_00105,Waida Sarma,new,card,True,12014.29,2,0,2
UNSEEN_CUST_00106,Falak Mohanty,regular,upi,False,32469.38,2,0,2
UNSEEN_CUST_00107,Omkaar Choudhry,regular,card,False,30745.51,5,2,7
UNSEEN_CUST_00108,Noah Venkataraman,regular,upi,True,48756.31,1,0,1
